Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Participant,Color,Tracking Ratio [%],Category Group,Index Right,Index Left,Pupil Diameter Right [mm],Pupil Diameter Left [mm],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Name Left,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content,AOI Group Right,AOI Scope Right,AOI Order Right,AOI Group Left,AOI Scope Left,AOI Order Binocular
33241,1727164.488,12:29:01:000,Trial001,1coucou G.jpg,8,DarkTurquoise,100.0,Information,1,1,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1coucou g.jpg,-,-,-,-,-,-
33244,1727211.478,12:29:01:047,Trial001,1coucou G.jpg,8,DarkTurquoise,100.0,Eye,1,1,,,454.6973492474149,488.02359840047376,425.70606586152087,486.99943042336923,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33247,1727271.098,12:29:01:107,Trial001,1coucou G.jpg,8,DarkTurquoise,100.0,Eye,1,1,,,487.92809261301863,477.00287603477784,463.5865342199414,481.8552125415701,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33250,1727330.842,12:29:01:166,Trial001,1coucou G.jpg,8,DarkTurquoise,100.0,Eye,1,1,,,509.7096474442052,467.96082356029353,491.45729470958247,474.178242235573,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33253,1727390.465,12:29:01:226,Trial001,1coucou G.jpg,8,DarkTurquoise,100.0,Eye,1,1,,,520.3457354214429,461.5876070111016,517.8916029016051,462.96825210803513,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33256,1727450.267,12:29:01:286,Trial001,1coucou G.jpg,8,DarkTurquoise,100.0,Eye,2,2,,,529.0234152495099,453.6297232663836,529.1986597323538,457.4604090796595,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33259,1727509.841,12:29:01:345,Trial001,1coucou G.jpg,8,DarkTurquoise,100.0,Eye,2,2,,,542.1990372651138,434.2102183204853,547.1435003085764,434.4935988009469,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33262,1727569.595,12:29:01:405,Trial001,1coucou G.jpg,8,DarkTurquoise,100.0,Eye,2,2,,,561.0102586673466,424.2342640819831,562.9799964289426,419.71796780893607,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33265,1727629.215,12:29:01:465,Trial001,1coucou G.jpg,8,DarkTurquoise,100.0,Eye,2,2,,,575.0760424284692,409.0235625218139,582.7022900272925,407.4395842882935,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33268,1727688.955,12:29:01:524,Trial001,1coucou G.jpg,8,DarkTurquoise,100.0,Eye,2,2,,,584.7249417248089,400.05319273690054,593.3010424793652,395.93723978506904,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33271,1727748.576,12:29:01:584,Trial001,1coucou G.jpg,8,DarkTurquoise,100.0,Eye,2,2,,,596.6144205879019,393.3842302621847,599.4504620286034,389.3259035068361,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33274,1727808.206,12:29:01:644,Trial001,1coucou G.jpg,8,DarkTurquoise,100.0,Eye,3,3,,,565.6678705913158,390.32856127602764,582.2851903023973,387.4531803197552,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33277,1727867.962,12:29:01:703,Trial001,1coucou G.jpg,8,DarkTurquoise,100.0,Eye,3,3,,,515.808444807891,384.0790365624395,526.103772137822,385.6153717767358,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33280,1727927.578,12:29:01:763,Trial001,1coucou G.jpg,8,DarkTurquoise,100.0,Eye,3,3,,,476.6036164434511,381.2622024391956,472.4163102866694,383.8797019887908,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33283,1727987.329,12:29:01:823,Trial001,1coucou G.jpg,8,DarkTurquoise,100.0,Eye,3,3,,,446.12389595890284,376.4643003472631,448.36261773345257,382.63992998429376,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33286,1728046.949,12:29:01:882,Trial001,1coucou G.jpg,8,DarkTurquoise,100.0,Eye,3,3,,,425.55711677076556,380.04361855736624,427.44540330681025,382.32810391603033,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33289,1728106.573,12:29:01:942,Trial001,1coucou G.jpg,8,DarkTurquoise,100.0,Eye,3,3,,,401.964112376372,378.6684254314051,400.73972748709866,380.4790678270314,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33292,1728166.321,12:29:02:002,Trial001,1coucou G.jpg,8,DarkTurquoise,100.0,Eye,3,3,,,386.6977427496521,378.7001204603373,395.6955041403295,377.5391695565731,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33295,1728225.949,12:29:02:061,Trial001,1coucou G.jpg,8,DarkTurquoise,100.0,Eye,3,3,,,376.1716418163902,377.8162290135251,374.88252441177696,380.8723443307786,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33298,1728285.705,12:29:02:121,Trial001,1coucou G.jpg,8,DarkTurquoise,100.0,Eye,3,3,,,370.71130744494195,386.19072682091394,364.87707611181855,382.2303245587053,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33301,1728345.324,12:29:02:181,Trial001,1coucou G.jpg,8,DarkTurquoise,100.0,Eye,3,3,,,370.43246526715274,381.18656813499035,351.29639925547866,382.3794756228849,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33304,1728404.953,12:29:02:240,Trial001,1coucou G.jpg,8,DarkTurquoise,100.0,Eye,4,4,,,462.9230321930469,379.3567681787363,467.4885911824964,384.52306471546433,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
