Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Participant,Color,Tracking Ratio [%],Category Group,Index Right,Index Left,Pupil Diameter Right [mm],Pupil Diameter Left [mm],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Name Left,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content,AOI Group Right,AOI Scope Right,AOI Order Right,AOI Group Left,AOI Scope Left,AOI Order Binocular
46339,602410.535,12:39:42:114,Trial001,1coucou G.jpg,32,Firebrick,100.0,Eye,1,1,,,583.846039038301,522.9365207869924,598.0858125500032,541.3941477530718,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46342,602470.141,12:39:42:173,Trial001,1coucou G.jpg,32,Firebrick,100.0,Eye,2,2,,,583.4494452786829,463.67007032404314,598.29632216683,422.11928174987247,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46345,602529.783,12:39:42:233,Trial001,1coucou G.jpg,32,Firebrick,100.0,Eye,2,2,,,569.7465306460307,487.5862594936699,587.7492370090837,447.55127125537365,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46348,602589.545,12:39:42:293,Trial001,1coucou G.jpg,32,Firebrick,100.0,Eye,2,2,,,566.8239467640667,547.2477349968578,575.3982703010382,509.54451791637115,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46351,602649.146,12:39:42:352,Trial001,1coucou G.jpg,32,Firebrick,100.0,Eye,2,2,,,565.2928672325118,520.5306444666878,570.68528147371,467.7532532699025,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46354,602708.89,12:39:42:412,Trial001,1coucou G.jpg,32,Firebrick,100.0,Eye,3,3,,,559.2502788387332,438.01951706217915,568.0276990793002,458.1973613535227,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46357,602768.538,12:39:42:472,Trial001,1coucou G.jpg,32,Firebrick,100.0,Eye,3,3,,,555.4637780159466,465.3235869326516,562.0218380811523,458.10176334860535,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46360,602828.141,12:39:42:531,Trial001,1coucou G.jpg,32,Firebrick,100.0,Eye,4,4,,,578.2424522254073,407.8151687861253,580.2061607499452,499.9693540191373,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46363,602887.887,12:39:42:591,Trial001,1coucou G.jpg,32,Firebrick,100.0,Eye,4,4,,,588.0946693680439,364.6306238386792,598.4472431864507,428.1413645109224,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46366,602947.517,12:39:42:651,Trial001,1coucou G.jpg,32,Firebrick,100.0,Eye,4,4,,,596.2982264442378,412.2678818248781,607.4266484016531,378.79414707153614,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46369,603007.137,12:39:42:710,Trial001,1coucou G.jpg,32,Firebrick,100.0,Eye,4,4,,,601.5174349975747,385.52079284572994,608.1060217723403,372.1380207636196,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46372,603066.887,12:39:42:770,Trial001,1coucou G.jpg,32,Firebrick,100.0,Eye,4,4,,,606.4008122024443,387.43049386080713,611.7075512454878,354.332868992509,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46375,603126.516,12:39:42:830,Trial001,1coucou G.jpg,32,Firebrick,100.0,Eye,4,4,,,623.816744195807,357.79396874078395,620.2578908753479,398.95694769528905,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46378,603186.137,12:39:42:889,Trial001,1coucou G.jpg,32,Firebrick,100.0,Eye,4,4,,,632.9713251324713,365.876307075116,632.7927682938916,414.73361850285517,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46381,603245.887,12:39:42:949,Trial001,1coucou G.jpg,32,Firebrick,100.0,Eye,4,4,,,638.2255471980046,383.6824136764709,632.0528064255019,355.3985423110604,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46384,603305.514,12:39:43:009,Trial001,1coucou G.jpg,32,Firebrick,100.0,Eye,4,4,,,643.8214596868025,365.1637884357605,637.9984624062859,391.3092083930877,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46387,603365.256,12:39:43:068,Trial001,1coucou G.jpg,32,Firebrick,100.0,Eye,4,4,,,643.573680546219,445.9887303139617,644.1822570465631,381.57501070415475,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46390,603424.888,12:39:43:128,Trial001,1coucou G.jpg,32,Firebrick,100.0,Eye,4,4,,,639.5039997720887,351.6448816428899,638.701770735899,367.58010895375145,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46393,603484.505,12:39:43:188,Trial001,1coucou G.jpg,32,Firebrick,100.0,Eye,4,4,,,641.2159367019938,379.2469049135416,644.4976073594925,396.1811455881205,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46396,603544.26,12:39:43:247,Trial001,1coucou G.jpg,32,Firebrick,100.0,Eye,4,4,,,649.5464835020858,340.229353563719,639.5978962666813,378.7524647940111,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46399,603603.88,12:39:43:307,Trial001,1coucou G.jpg,32,Firebrick,100.0,Eye,4,4,,,652.9557674914913,321.8676068758677,640.6245062143906,343.61688828435604,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46402,603663.505,12:39:43:367,Trial001,1coucou G.jpg,32,Firebrick,100.0,Eye,4,4,,,646.7633330691591,340.0103617544654,637.6890288121637,388.2215647390642,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46405,603723.258,12:39:43:426,Trial001,1coucou G.jpg,32,Firebrick,100.0,Eye,4,4,,,647.1067579779615,332.6409561735074,646.6233858853174,427.3706557484442,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46408,603782.883,12:39:43:486,Trial001,1coucou G.jpg,32,Firebrick,100.0,Eye,5,5,,,677.9337528788766,344.8092176669464,676.1028445682737,381.48196480311697,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46411,603842.512,12:39:43:546,Trial001,1coucou G.jpg,32,Firebrick,100.0,Eye,5,5,,,699.8880494434964,331.4265801517392,703.6211764363138,366.50608918941526,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46414,603902.258,12:39:43:605,Trial001,1coucou G.jpg,32,Firebrick,100.0,Eye,5,5,,,722.1114931869015,374.9953085545594,725.2924193401451,441.64784581821596,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46417,603961.878,12:39:43:665,Trial001,1coucou G.jpg,32,Firebrick,100.0,Eye,6,6,,,755.5716070517459,391.8598282791722,746.405383026919,438.2993604563044,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
